ID,Finca,Derechos,Plano_cat,Año,Area_re,Provincia,Canton,Distrito,condicion,longiud,latitud
1,1-00412864,0,SJ-0725539-2001,2001,10000,San Jose,San Jose,Catedral,en proceso,-84.46685,9.92377
2,1-00297013,1,SJ-0351011-1979,1979,30065.66,San Jose,Santa Ana,Pozos,sin iniciar,-84.46476,9.92591
3,1-00697801,1,SJ-2057663-2018,2018,1423,San Jose,Santa Ana,Pozos,en proceso,-84.45755,9.92695
4,1-00306901,2,SJ-2242391-2020,2020,5418,San Jose,Santa Ana,Pozos,en proceso,-84.45878,9.92532
5,2-00043221,1,A-0752506-2001,2001,5921.88,Alajuela,Alajuela,Guacima,sin iniciar,-84.45803,9.92613
6,2-00448864,1,A-0937626-2004,2004,2877.23,Alajuela,Alajuela,Guacima,sin iniciar,-84.45762,9.92661
7,2-00519996,1,A-2264600-2021,2021,857,Alajuela,Alajuela,Guacima,sin iniciar,-84.45712,9.92725
8,2-00129658,1,A-2264600-2022,2022,1206614.96,Alajuela,Atenas,Escobal,finalizado,-84.48758,9.91784
9,2-00245936,1,A-0006729-1974,1974,10786.15,Alajuela,Alajuela,Guacima,sin iniciar,-84.45371,9.92809
10,2-00119874,3,A-0296054-1978,1978,96148.52,Alajuela,Alajuela,Pozos,finalizado,-84.48664,9.91808
11,2-00127074,1,A-0752507-2001,2001,20966.3,Alajuela,Alajuela,Guacima,finalizado,-84.51473,9.90892
12,2-00528217,2,A-0813502-2002,2002,909.35,Alajuela,Alajuela,Guacima,finalizado,-84.5335,9.89997
13,2-00524949,6,A-0819097-2002,2002,888.17,Alajuela,Alajuela,Guacima,sin iniciar,-84.41374,9.93495
14,2-00014826,2,A-0819097-2003,2003,304019.76,Alajuela,Alajuela,Guacima,sin iniciar,-84.41006,9.93578
15,2-00156851,1,A-1821462-2015,2015,13485,Alajuela,Alajuela,Guacima,sin iniciar,-84.40773,9.93546
16,2-00420477,4,A-1062216-2006,2006,27557.88,Alajuela,Alajuela,Guacima,en proceso,-84.4208,9.93534
17,2-00250073,3,A-0857644-1990,190,18369.34,Alajuela,Alajuela,Guacima,finalizado,-84.40806,9.93543
18,2-00498577,1,A-0028691-2023,2023,959,Alajuela,Alajuela,Guacima,finalizado,-84.41247,9.93585
19,2-00272911,2,A-0001391-1969,1969,58941.7,Alajuela,Alajuela,Guacima,finalizado,-84.40836,9.93521
20,2-00305638,5,A-1949291-2017,2017,11232,Alajuela,Alajuela,Guacima,sin iniciar,-84.41904,9.93281
22,2-00080285,9,A-1949291-2018,2018,652662.75,Alajuela,Orotina,Hacienda Vieja,sin iniciar,-84.41489,9.93329
23,2-00494506,1,A-1839566-2015,2015,688,Alajuela,Orotina,Coyolar,sin iniciar,-84.3854,9.94122
24,2-00253834,1,A-0864898-1989,1989,1100.35,Alajuela,Orotina,Coyolar,sin iniciar,-84.40117,9.9395
25,2-00212957,1,A-1290950-2008,2008,42949.23,Alajuela,Atenas,Escobal,sin iniciar,-84.38732,9.94106
26,2-00284397,3,A-0146395-1993,1993,1080.95,Alajuela,Orotina,Coyolar,sin iniciar,-84.26386,9.96426
27,2-00449286,1,A-0502148-1998,1998,688,Alajuela,Orotina,Coyolar,sin iniciar,-84.26779,9.96398
28,2-00498324,1,A-1596153-2012,2012,200,Alajuela,Orotina,Coyolar,sin iniciar,-84.26899,9.96396
29,2-00536595,1,A-2243972-2020,2020,232,Alajuela,Orotina,Coyolar,finalizado,-84.26934,9.96393
30,2-00285307,2,A-0144142-1993,1993,4804.44,Alajuela,Orotina,Coyolar,finalizado,-84.26966,9.96391
31,2-00420488,1,A-0908750-2004,2004,241.52,Alajuela,Atenas,Jesus,en proceso,-84.27151,9.96411
32,2-00284398,1,A-0144476-1993,1993,577.25,Alajuela,Orotina,Coyolar,en proceso,-84.30769,9.96608
33,2-00096824,0,A-0144476-1994,1994,38127.15,Alajuela,Alajuela,Guacima,en proceso,-84.33061,9.96546
34,2-00181977,1,A-0029061-2023,2023,182618,Alajuela,Atenas,Escobal,finalizado,-84.3318,9.96561
35,2-00035838,5,A-0029061-2024,2024,412933.58,Alajuela,Atenas,Escobal,finalizado,-84.36314,9.94788
36,2-00266346,1,A-1814370-2015,2015,356393,Alajuela,Alajuela,Pozos,finalizado,-84.36276,9.94804
37,2-00090926,1,A-1814370-2016,2016,29032.78,Alajuela,Atenas,Escobal,en proceso,-84.36474,9.94636
38,1-00555111,1,SJ-1653278-2013,2013,5454,San Jose,Escazu,Pozos ,finalizado,-84.27164,9.96412
39,1-00542465,1,SJ-0879711-2003,2003,12277.74,San Jose,Escazu,Pozos ,finalizado,-84.27312,9.96451
40,1-00545083,1,SJ-0905880-2004,2004,6622.52,San Jose,Escazu,Pozos ,finalizado,-84.27136,9.96408
41,1-00277472,1,SJ-1793130-2015,2015,2801,San Jose,Escazu,Pozos ,en proceso,-84.27134,9.96408
42,1-00005250-M,1,SJ-1628548-2012,2012,26344,San Jose,Escazu,Pozos ,en proceso,-84.15196,9.94703
43,2-00217937,1,A-0658467-1986,1986,238.07,San Jose,Santa Ana,Brasil,desestimado,-84.15212,9.94724
